76 0.010000000000000002 100 1.1102230246251565e-16 + 1.1102230246251565e-16im ComplexF64[-0.5221573268421078 - 0.8041556780321785im, 1.0 - 0.0im]
77 0.010000000000000002 100 6.938893903907228e-18 - 4.5102810375396984e-17im ComplexF64[0.03934416316050012 + 0.010508550460842607im, 1.0 - 0.0im]
78 0.010000000000000002 100 1.3709482371125827e-16 - 2.1225262755680402e-16im ComplexF64[-0.2479125869023136 + 1.1805542982099881im, 0.9999999999999999 + 0.0im]
79 0.010000000000000002 100 6.661338147750939e-16 - 2.220446049250313e-16im ComplexF64[1.5836244582690722 - 0.5957808993755296im, 1.0 + 0.0im]
80 0.010000000000000002 100 5.551115123125783e-17 - 1.1102230246251565e-16im ComplexF64[0.3795718145901775 + 0.5301434526106978im, 1.0 - 0.0im]
81 0.010000000000000002 100 8.233092209284361e-18 - 1.1111459708325736e-16im ComplexF64[0.0016087201627769197 - 0.845211369171013im, 1.0 - 0.0im]
82 0.010000000000000002 100 3.1860856644208647e-16 + 2.1277749936065637e-16im ComplexF64[-0.04498647300631295 + 1.1235390494952082im, 0.9999999999999999 + 0.0im]
83 0.010000000000000002 100 0.0 + 4.163336342344337e-17im ComplexF64[0.18998082687981865 + 0.06492449172491387im, 1.0 - 0.0im]
84 0.010000000000000002 100 1.1102230246251565e-15 + 8.881784197001252e-16im ComplexF64[1.1289861262247334 + 3.065356611953872im, 1.0 + 0.0im]
85 0.010000000000000002 100 0.0 + 2.220446049250313e-16im ComplexF64[-0.729063200343655 + 1.2568603104260134im, 1.0 - 0.0im]
86 0.010000000000000002 100 1.1102230246251565e-16 + 0.0im ComplexF64[-0.3175042790979978 + 0.650491178897786im, 1.0 + 0.0im]
87 0.010000000000000002 100 2.220446049250313e-16 - 1.3322676295501878e-15im ComplexF64[1.4909885583737459 - 1.544839576408013im, 1.0 - 0.0im]
88 0.010000000000000002 100 0.0 + 2.7755575615628914e-16im ComplexF64[-0.2878074516080845 + 0.161230846698751im, 1.0 - 0.0im]
89 0.010000000000000002 100 0.0 + 1.1102230246251565e-16im ComplexF64[-0.8426734995629602 + 0.5006818236810829im, 1.0 - 0.0im]
90 0.010000000000000002 100 1.1102230246251565e-16 + 0.0im ComplexF64[0.5513212504308871 + 1.3985619503382296im, 1.0 + 0.0im]
