88 4.761611720856958e-5 21002 0.0 ComplexF64[-0.2878074516080845 + 0.1612308466987513im, 1.0 - 0.0im]
89 5.369337931629255e-5 18625 0.0 ComplexF64[-0.8426734995629602 + 0.5006818236810828im, 1.0 - 0.0im]
90 5.151314554984814e-5 19413 0.0 ComplexF64[0.551321250430887 + 1.3985619503382296im, 1.0 + 0.0im]
91 2.418595197917573e-5 41347 0.0 ComplexF64[-1.9520328968842615 + 0.9815627658876676im, 1.0 - 0.0im]
92 5.1088256109928495e-5 19574 0.0 ComplexF64[-3.2194974732879897 - 2.215978427218681im, 1.0 - 0.0im]
93 4.942050645209361e-5 20235 0.0 ComplexF64[-0.5721270561861694 + 0.32358974607297786im, 1.0 + 5.661662750738246e-17im]
94 4.3419992391189325e-5 23031 0.0 ComplexF64[0.5398537136058098 + 0.09758415287254198im, 1.0 + 0.0im]
95 4.274058806857872e-5 23397 0.0 ComplexF64[0.591287148419754 + 0.015250183014484914im, 0.9999999999999999 + 0.0im]
96 2.882866786626701e-5 34688 0.0 ComplexF64[0.2331031776398623 - 0.41417518512803336im, 1.0 - 0.0im]
97 5.140848720233673e-5 19453 0.0 ComplexF64[0.8092038916376734 - 2.5249868079683093im, 1.0 - 0.0im]
98 3.660375373073067e-5 27320 0.0 ComplexF64[0.5316110462696149 + 1.7035742200780353im, 0.9999999999999999 - 0.0im]
99 2.964705538447603e-5 33731 0.0 ComplexF64[0.11926747261400346 + 0.3934834878777496im, 1.0 + 0.0im]
100 2.8741793086201348e-5 34793 0.0 ComplexF64[-1.349419471120459 + 1.0507759825493073im, 1.0 + 0.0im]
