56 1.0e-5 100001 0.0 + 1.3877787807814457e-17im ComplexF64[-0.28152572562215833 - 0.12334412891089862im, 1.0 - 0.0im]
57 1.0e-5 100001 8.881784197001252e-16 + 8.881784197001252e-16im ComplexF64[6.374945876628965 - 5.315938628480691im, 1.0 - 0.0im]
58 1.0e-5 100001 2.220446049250313e-16 - 3.885780586188048e-16im ComplexF64[-1.419164555594469 + 0.327621430702836im, 1.0 + 0.0im]
59 1.0e-5 100001 4.163336342344337e-17 + 2.220446049250313e-16im ComplexF64[0.07633609068977312 + 1.20106178769959im, 1.0 - 0.0im]
60 1.0e-5 100001 2.220446049250313e-16 + 0.0im ComplexF64[0.9812082767818994 - 1.1063742931884424im, 1.0 - 0.0im]
61 1.0e-5 100001 6.938893903907228e-17 + 5.551115123125783e-17im ComplexF64[-0.06349296176778545 - 0.34205684808495435im, 1.0 - 0.0im]
62 1.0e-5 100001 4.496600898592745e-16 + 1.3309250997026332e-15im ComplexF64[1.043658404130884 + 2.073750437048535im, 1.0 + 0.0im]
63 1.0e-5 100001 0.0 + 2.220446049250313e-16im ComplexF64[2.4810084905773064 - 1.9345001131900497im, 1.0 - 0.0im]
64 1.0e-5 100001 1.0431076003509437e-16 + 1.9287263431718158e-16im ComplexF64[0.8889883415067504 + 0.8279752919222655im, 0.9999999999999999 - 0.0im]
65 1.0e-5 100001 0.0 + 8.888819287682819e-16im ComplexF64[2.3328344509306578 + 0.7024341223247778im, 1.0 - 3.535785725703893e-17im]
66 1.0e-5 100001 1.4122255026661412e-16 + 8.728033604270805e-17im ComplexF64[-0.8497904793335777 - 0.61073743269345im, 0.9999999999999999 - 0.0im]
67 1.0e-5 100001 0.0 + 0.0im ComplexF64[0.5728857074923559 + 0.6017408289729638im, 0.9999999999999999 - 0.0im]
68 1.0e-5 100001 9.614813431917819e-17 + 0.0im ComplexF64[-1.0458572587140518 + 0.31534635690641677im, 0.9999999999999999 - 0.0im]
69 1.0e-5 100001 7.806255641895632e-18 + 1.1102230246251565e-16im ComplexF64[0.004763500126046312 - 0.7402926848340075im, 1.0 + 0.0im]
