77 0.1 10 1.1233345648998013e-16 + 5.5720464008127695e-18im ComplexF64[0.03934416316050009 + 0.01050855046084263im, 0.9999999999999999 - 0.0im]
78 0.1 10 1.616450038540828e-16 + 0.0im ComplexF64[-0.24791258690231388 + 1.1805542982099884im, 1.0 + 0.0im]
79 0.1 10 2.220446049250313e-16 - 5.551115123125783e-16im ComplexF64[1.5836244582690726 - 0.5957808993755292im, 1.0 + 0.0im]
80 0.1 10 1.1102230246251565e-16 + 0.0im ComplexF64[0.3795718145901777 + 0.5301434526106977im, 1.0 - 0.0im]
81 0.1 10 5.4237238098680555e-17 + 0.0im ComplexF64[0.0016087201627769658 - 0.8452113691710129im, 1.0 - 0.0im]
82 0.1 10 2.0816681711721685e-17 + 4.440892098500626e-16im ComplexF64[-0.044986473006312665 + 1.123539049495208im, 1.0 + 0.0im]
83 0.1 10 2.7755575615628914e-17 - 5.551115123125783e-17im ComplexF64[0.18998082687981868 + 0.06492449172491377im, 1.0 - 0.0im]
84 0.1 10 4.440892098500626e-16 + 8.881784197001252e-16im ComplexF64[1.1289861262247327 + 3.065356611953872im, 1.0 + 0.0im]
85 0.1 10 1.0988031826306532 - 0.09200662979799978im ComplexF64[-1.8278663829743083 + 1.3488669402240134im, 1.0 - 0.0im]
86 0.1 10 1.4122255026661412e-16 + 8.728033604270805e-17im ComplexF64[-0.3175042790979978 + 0.6504911788977858im, 0.9999999999999999 + 0.0im]
87 0.1 10 0.0 + 8.884390997146594e-16im ComplexF64[1.4909885583737457 - 1.5448395764080125im, 1.0 + 2.1520424735188013e-17im]
88 0.1 10 5.551115123125783e-17 - 2.220446049250313e-16im ComplexF64[-0.28780745160808446 + 0.16123084669875107im, 1.0 - 0.0im]
89 0.1 10 1.1102230246251565e-16 - 2.220446049250313e-16im ComplexF64[-0.8426734995629601 + 0.5006818236810826im, 1.0 - 0.0im]
90 0.1 10 2.179182192465051e-16 - 2.262491256894022e-16im ComplexF64[0.5513212504308868 + 1.3985619503382298im, 1.0 - 6.083022764753621e-17im]
91 0.1 10 2.4395687991236815e-16 + 1.0105024829392735e-16im ComplexF64[-1.9520328968842613 + 0.9815627658876677im, 0.9999999999999999 - 0.0im]
92 0.1 10 0.0 + 8.899136224496046e-16im ComplexF64[-3.2194974732879897 - 2.215978427218682im, 1.0 + 5.554592874699157e-17im]
93 0.1 10 0.0 + 1.6179822317472322e-17im ComplexF64[-0.5721270561861694 + 0.32358974607297786im, 1.0 + 7.279644982485478e-17im]
94 0.1 10 1.1102230246251565e-16 - 2.3592239273284576e-16im ComplexF64[0.5398537136058097 + 0.09758415287254221im, 1.0 + 0.0im]
95 0.1 10 0.0 + 9.020562075079397e-17im ComplexF64[0.591287148419754 + 0.015250183014484824im, 0.9999999999999999 + 0.0im]
96 0.1 10 5.551115123125783e-17 + 5.551115123125783e-17im ComplexF64[0.23310317763986235 - 0.4141751851280333im, 1.0 - 0.0im]
97 0.1 10 1.1102230246251565e-16 + 4.440892098500626e-16im ComplexF64[0.8092038916376733 - 2.5249868079683098im, 1.0 - 0.0im]
98 0.1 10 0.0 - 1.9229626863835638e-16im ComplexF64[0.5316110462696149 + 1.7035742200780355im, 1.0 - 0.0im]
99 0.1 10 6.938893903907228e-17 + 0.0im ComplexF64[0.11926747261400339 + 0.3934834878777496im, 1.0 + 0.0im]
100 0.1 10 2.220446049250313e-16 - 2.220446049250313e-16im ComplexF64[-1.3494194711204592 + 1.0507759825493075im, 1.0 + 0.0im]
